Alert ID,Event ID,Update Number,Date,Affected,Header,Description
192146,89192,0,01/01/2023 12:27:00 AM,F,Southbound F trains are running with delays while we investigate a report of unauthorized people on the tracks near Delancey St-Essex St.,
192154,89199,0,01/01/2023 01:31:00 AM,6,Southbound 6 trains are delayed while we inspect tracks at Cypress Av.,
192163,89205,0,01/01/2023 02:25:00 AM,2 | 3,Northbound 2 3 trains are delayed while we investigate what caused a train's brakes to activate at 135 St.,
192165,89207,0,01/01/2023 02:36:00 AM,1,Southbound 1 trains are delayed while we request NYPD assistance for a person being disruptive on a train at 66 St-Lincoln Center.,
192178,89212,0,01/01/2023 03:18:00 AM,7,34 St-Hudson Yards-bound 7 trains are delayed while we remove a train with a mechanical problem from service at 5 Av.,
192180,89214,0,01/01/2023 03:22:00 AM,J,Jamaica Center-Parsons/Archer-bound J trains are running with delays after we addressed a signal malfunction near Broadway Junction.,
192186,89217,0,01/01/2023 04:55:00 AM,1,Southbound 1 trains are delayed while we investigate why a train's brakes were activated at Chambers St.,
192190,89219,0,01/01/2023 05:16:00 AM,2 | 3 | 4,2 3 4 trains are delayed in both directions while we investigate a loss of power at Franklin Av-Medgar Evers College.,
192194,89221,0,01/01/2023 06:08:00 AM,F,You may experience a longer wait for a southbound F train. We are running as much service as we can with the train crews we have available.,
192195,89222,0,01/01/2023 06:11:00 AM,A,You may experience a longer wait for an A train. We are running as much service as we can with the train crews we have available.,
192196,89223,0,01/01/2023 06:21:00 AM,D | N | R,Southbound D N R trains are delayed while we troubleshoot a door malfunction on a train at Atlantic Av-Barclays Ctr.,
192198,89224,0,01/01/2023 07:14:00 AM,N,Northbound N trains are delayed while we conduct an investigation at 36 Av.,
192199,89225,0,01/01/2023 07:19:00 AM,1,1 trains are delayed in both directions while we investigate a loss of power near 125 St.,
192206,89226,0,01/01/2023 07:44:00 AM,1,1 trains are delayed in both directions while we investigate a loss of power near Cathedral Pkwy (110 St).,
192208,89227,0,01/01/2023 08:27:00 AM,1 | 2,Northbound 1 2 trains are running with delays after we investigated reports of an unauthorized person on the tracks at 18 St.,
192211,89229,0,01/01/2023 08:50:00 AM,A | H,A Rockaway Park Shuttle trains are delayed in both directions while the South Channel Bridge opens to allow marine traffic to pass.,
192214,89230,0,01/01/2023 09:02:00 AM,D | F,Northbound D F trains are delayed while we request NYPD for an unauthorized person on the tracks at 42 St-Bryant Pk.,
192220,89232,0,01/01/2023 10:17:00 AM,A | H,A Rockaway Park Shuttle trains are are delayed in both directions while the South Channel Bridge opens to allow marine traffic to pass.,
192223,89234,0,01/01/2023 12:01:00 PM,R,Northbound R trains are delayed while we remove a train car in need of cleaning from service at Whitehall St-South Ferry.,
192224,89235,0,01/01/2023 12:06:00 PM,4,Southbound 4 trains are delayed while we request NYPD assistance with a person being disruptive on a train at Pennsylvania Av.,
192228,89237,0,01/01/2023 12:25:00 PM,1,Southbound 1 trains are delayed while we address a mechanical problem on a train at WTC Cortlandt.,
192236,89243,0,01/01/2023 01:02:00 PM,1,Southbound 1 trains are delayed while we remove a train car in need of cleaning from service at 72 St.,
192238,89244,0,01/01/2023 01:17:00 PM,D,Southbound D trains are running with delays after we moved a train that had its brakes activated near 20 Av.,
192239,89245,0,01/01/2023 01:25:00 PM,A,A trains are delayed entering and leaving Inwood-207 St while we request EMS assistance for a person on a train at that station.,
192241,89246,0,01/01/2023 02:12:00 PM,6,Northbound 6 trains are delayed while we address a mechanical problem on a train at 59 St.,
192242,89247,0,01/01/2023 02:23:00 PM,L,Canarsie-Rockaway Pkwy-bound L trains are delayed while we request EMS for someone in need of assistance on a train at Livonia Av.,
192246,89249,0,01/01/2023 03:01:00 PM,R,Northbound R trains are delayed while we request EMS for a person in need of assistance on a train at Canal St.,
192262,89255,0,01/01/2023 05:35:00 PM,C | E,Southbound C E trains are delayed while we troubleshoot a door problem on a train at Spring St.,
192264,89256,0,01/01/2023 06:03:00 PM,N,N trains are delayed entering and leaving Coney Island-Stillwell Av while we address a signal problem near that station.,
192269,89258,0,01/01/2023 06:17:00 PM,2 | 3,Northbound 2 3 trains are delayed while we request EMS assistance for a person in need of medical attention at 72 St.,
192270,89259,0,01/01/2023 06:22:00 PM,Q,Northbound Q trains are delayed while we remove a vandalized train from service at Atlantic Av-Barclays Ctr.,
192278,89262,0,01/01/2023 06:58:00 PM,A | H,A Rockaway Park Shuttle trains are delayed in both directions while the South Channel Bridge opens to allow marine traffic to pass.,
192284,89267,0,01/01/2023 08:15:00 PM,4,Southbound 4 trains are delayed while we address a mechanical problem on a train at Brooklyn Bridge-City Hall.,
192289,89271,0,01/01/2023 08:46:00 PM,D,Northbound D trains are running with delays after we addressed a door problem on a train at Broadway-Lafayette St.,
192290,89272,0,01/01/2023 08:52:00 PM,E,Northbound E trains are delayed while EMS/NYPD respond to someone in need on a train at Queens Plaza.,
192293,89273,0,01/01/2023 09:29:00 PM,D,Southbound D trains are running with delays after we moved a train that had it's emergency brake cord pulled at Bay Pkwy.,
192295,89274,0,01/01/2023 09:54:00 PM,D | N,Northbound D N trains are delayed while EMS responds to someone in need at 36 St.,
192302,89279,0,01/01/2023 11:07:00 PM,E | F,Southbound E F trains are delayed while we removed a train car in need of cleaning from service at Jackson Hts-Roosevelt Av.,
192303,89280,0,01/01/2023 11:17:00 PM,6,Southbound 6 trains are running with delays after EMS responded to someone in need at Grand Central-42 St.,
192308,89283,0,01/02/2023 12:21:00 AM,R,Northbound R trains are running at slower speeds near 23 St while we address a signal problem in the area.,
192309,89284,0,01/02/2023 12:49:00 AM,C | E,Southbound C E trains are delayed while EMS responds to someone in need on a train at W 4 St-Wash Sq.,
192310,89285,0,01/02/2023 12:53:00 AM,F,Southbound F trains are delayed while EMS responds to someone in need on a train at East Broadway.,
192314,89287,0,01/02/2023 01:17:00 AM,2 | 3,Southbound 2 3 trains are delayed while we investigate why a train's brakes activated near Chambers St.,
192319,89289,0,01/02/2023 01:34:00 AM,M,M trains are delayed in both directions while EMS responds to someone in need at Essex St.,
192322,89290,0,01/02/2023 01:49:00 AM,1,Southbound 1 trains are delayed while EMS responds to someone in need at 96 St.,
192323,89291,0,01/02/2023 01:51:00 AM,4,Southbound 4 trains are running with delays after NYPD conducted an investigation at 149 St-Grand Concourse.,
192330,89293,0,01/02/2023 02:16:00 AM,N | R,Northbound N R trains are delayed while NYPD responds to someone being disruptive on a train at 57 St-7 Av.,
192335,89296,0,01/02/2023 02:39:00 AM,A | C,Northbound A C trains are running with delays after NYPD responded to someone being disruptive on a train at Hoyt-Schermerhorn Sts.,
192336,89297,0,01/02/2023 02:51:00 AM,N,Southbound N trains are delayed while we investigate why a train's brakes activated near 20 Av.,
